ID,Criticality,C_LOW,C_HIGH,Period,Deadline,AP,RP,Flag,U_LOW,U_HIGH,set_id,system_total_utilization,system_target_u_norm,system_cores
1,HIGH,2.3668764174179513,4.733752834835903,87,87,0.23668764174179513,0.23668764174179513,3,0.027205476062275302,0.054410952124550604,0,2.0,0.5,4
2,HIGH,0.9325178632041513,1.8650357264083026,31,31,0.09325178632041514,0.09325178632041514,4,0.0300812213936823,0.0601624427873646,0,2.0,0.5,4
3,HIGH,21.979936755459693,43.95987351091939,95,95,2.1979936755459692,2.1979936755459692,1,0.23136775532062834,0.4627355106412567,0,2.0,0.5,4
4,LOW,5.628823687695236,5.628823687695236,87,87,0.5628823687695237,0.5628823687695237,3,0.06469912284707169,0.06469912284707169,0,2.0,0.5,4
5,HIGH,1.7486210636242667,3.4972421272485334,76,76,0.1748621063624267,0.1748621063624267,2,0.023008171889792983,0.046016343779585966,0,2.0,0.5,4
6,LOW,10.29620619751204,10.29620619751204,71,71,1.0296206197512041,1.0296206197512041,3,0.1450169886973527,0.1450169886973527,0,2.0,0.5,4
7,HIGH,8.72462111160496,17.44924222320992,39,39,0.8724621111604961,0.8724621111604961,2,0.22370823363089642,0.44741646726179285,0,2.0,0.5,4
8,LOW,1.4505299432862166,1.4505299432862166,63,63,0.14505299432862168,0.14505299432862168,4,0.02302428481406693,0.02302428481406693,0,2.0,0.5,4
9,LOW,4.759301970025099,4.759301970025099,66,66,0.47593019700250994,0.47593019700250994,3,0.0721106359094712,0.0721106359094712,0,2.0,0.5,4
10,LOW,0.7887616157909392,0.7887616157909392,24,24,0.07887616157909393,0.07887616157909393,4,0.032865067324622466,0.032865067324622466,0,2.0,0.5,4
11,LOW,27.703778351315087,27.703778351315087,97,97,2.7703778351315087,2.7703778351315087,2,0.2856059623846916,0.2856059623846916,0,2.0,0.5,4
12,HIGH,4.057692962068227,8.115385924136454,32,32,0.4057692962068227,0.4057692962068227,4,0.1268029050646321,0.2536058101292642,0,2.0,0.5,4
13,LOW,3.4416406096000065,3.4416406096000065,19,19,0.3441640609600007,0.3441640609600007,4,0.1811389794526319,0.1811389794526319,0,2.0,0.5,4
14,HIGH,12.985315147342828,25.970630294685655,44,44,1.2985315147342829,1.2985315147342829,3,0.2951207988032461,0.5902415976064922,0,2.0,0.5,4
15,HIGH,2.0652363750078258,4.1304727500156515,52,52,0.2065236375007826,0.2065236375007826,3,0.03971608413476588,0.07943216826953176,0,2.0,0.5,4
16,LOW,6.551434304915678,6.551434304915678,33,33,0.6551434304915679,0.6551434304915679,2,0.19852831227017206,0.19852831227017206,0,2.0,0.5,4
1,HIGH,49.0,98,98,98,4.9,4.9,2,0.5,1.0,1,2.0,0.5,4
2,LOW,4.475999216200443,4.475999216200443,28,28,0.44759992162004436,0.44759992162004436,3,0.15985711486430154,0.15985711486430154,1,2.0,0.5,4
3,HIGH,3.4423258883806462,6.8846517767612925,46,46,0.3442325888380646,0.3442325888380646,1,0.07483317148653579,0.14966634297307158,1,2.0,0.5,4
4,LOW,1.8996364521656253,1.8996364521656253,93,93,0.18996364521656253,0.18996364521656253,4,0.020426198410383067,0.020426198410383067,1,2.0,0.5,4
5,LOW,0.7784250498295142,0.7784250498295142,38,38,0.07784250498295142,0.07784250498295142,3,0.020484869732355637,0.020484869732355637,1,2.0,0.5,4
6,LOW,1.5804236115714518,1.5804236115714518,36,36,0.1580423611571452,0.1580423611571452,3,0.04390065587698477,0.04390065587698477,1,2.0,0.5,4
7,HIGH,0.807639912481688,1.615279824963376,30,30,0.0807639912481688,0.0807639912481688,1,0.026921330416056266,0.05384266083211253,1,2.0,0.5,4
8,LOW,8.331379045963983,8.331379045963983,79,79,0.8331379045963984,0.8331379045963984,4,0.10546049425270865,0.10546049425270865,1,2.0,0.5,4
9,HIGH,9.102541762143973,18.205083524287947,95,95,0.9102541762143974,0.9102541762143974,3,0.09581622907519972,0.19163245815039945,1,2.0,0.5,4
10,LOW,2.1154181047927434,2.1154181047927434,80,80,0.21154181047927434,0.21154181047927434,1,0.026442726309909292,0.026442726309909292,1,2.0,0.5,4
11,HIGH,3.7039931285814562,7.4079862571629125,53,53,0.37039931285814565,0.37039931285814565,3,0.0698866628034237,0.1397733256068474,1,2.0,0.5,4
12,HIGH,0.16428118893361798,0.32856237786723597,96,96,0.0164281188933618,0.0164281188933618,2,0.0017112623847251873,0.0034225247694503746,1,2.0,0.5,4
13,HIGH,14.767683573594985,29.53536714718997,54,54,1.4767683573594985,1.4767683573594985,2,0.27347562173324047,0.5469512434664809,1,2.0,0.5,4
14,LOW,2.038624336161651,2.038624336161651,10,10,0.2038624336161651,0.2038624336161651,2,0.2038624336161651,0.2038624336161651,1,2.0,0.5,4
15,HIGH,5.0284377359359365,10.056875471871873,40,40,0.5028437735935937,0.5028437735935937,2,0.12571094339839842,0.25142188679679683,1,2.0,0.5,4
